iter	Passed	Remaining
602	5760	3792
603	5768	3782
604	5776	3771
605	5785	3761
606	5793	3750
607	5801	3740
608	5808	3729
609	5816	3718
610	5824	3708
611	5833	3698
612	5842	3688
613	5850	3678
614	5858	3667
615	5867	3657
616	5876	3647
617	5884	3637
618	5892	3627
619	5900	3616
620	5907	3605
621	5917	3595
622	5925	3585
623	5934	3575
624	5944	3566
625	5952	3556
626	5961	3546
627	5970	3536
628	5979	3527
629	5994	3520
630	6006	3512
631	6018	3504
632	6028	3495
633	6037	3485
634	6046	3475
635	6055	3465
636	6064	3456
637	6118	3471
638	6128	3462
639	6135	3451
640	6144	3441
641	6154	3432
642	6164	3422
643	6174	3413
644	6190	3406
645	6204	3399
646	6214	3390
647	6223	3380
648	6231	3370
649	6239	3359
650	6248	3349
651	6256	3339
652	6265	3329
653	6281	3323
654	6291	3313
655	6299	3303
656	6308	3293
657	6316	3283
658	6325	3273
659	6333	3262
660	6343	3253
661	6356	3245
662	6364	3234
663	6373	3225
664	6381	3214
665	6389	3204
666	6398	3194
667	6406	3184
668	6414	3173
669	6423	3163
670	6431	3153
671	6439	3143
672	6447	3132
673	6456	3122
674	6464	3112
675	6472	3102
676	6481	3092
677	6489	3081
678	6497	3071
679	6506	3061
680	6515	3052
681	6524	3042
682	6533	3032
683	6542	3022
684	6552	3013
685	6560	3002
686	6568	2992
687	6577	2982
688	6585	2972
689	6593	2962
690	6607	2954
691	6616	2944
692	6624	2934
693	6632	2924
694	6640	2914
695	6649	2904
696	6657	2894
697	6665	2883
698	6673	2873
699	6682	2863
700	6690	2853
701	6698	2843
702	6707	2833
703	6716	2824
704	6725	2814
705	6735	2804
706	6743	2794
707	6751	2784
708	6760	2774
709	6769	2765
710	6779	2755
711	6787	2745
712	6795	2735
713	6803	2725
714	6812	2715
715	6820	2705
716	6828	2695
717	6836	2685
718	6844	2675
719	6853	2665
720	6861	2655
721	6870	2645
722	6879	2635
723	6887	2625
724	6896	2615
725	6905	2606
726	6914	2596
727	6923	2586
728	6932	2577
729	6940	2567
730	6948	2557
731	6957	2547
732	6965	2537
733	6973	2527
734	6981	2517
735	6990	2507
736	6998	2497
737	7006	2487
738	7014	2477
739	7023	2467
740	7031	2457
741	7039	2447
742	7048	2437
743	7056	2428
744	7064	2418
745	7073	2408
746	7082	2398
747	7091	2388
748	7100	2379
749	7109	2369
750	7117	2359
751	7125	2350
752	7134	2340
753	7142	2330
754	7150	2320
755	7158	2310
756	7166	2300
757	7174	2290
758	7183	2280
759	7191	2270
760	7199	2261
761	7208	2251
762	7216	2241
763	7224	2231
764	7232	2221
765	7240	2211
766	7248	2202
767	7257	2192
768	7266	2182
769	7274	2173
770	7283	2163
771	7292	2153
772	7302	2144
773	7310	2134
774	7318	2124
775	7326	2114
776	7335	2105
777	7343	2095
778	7351	2085
779	7359	2075
780	7367	2065
781	7375	2056
782	7384	2046
783	7392	2036
784	7400	2026
785	7408	2017
786	7417	2007
787	7425	1997
788	7433	1987
789	7441	1978
790	7450	1968
791	7458	1958
792	7468	1949
793	7476	1939
794	7485	1930
795	7494	1920
796	7502	1911
797	7511	1901
798	7520	1891
799	7528	1882
800	7536	1872
801	7545	1862
802	7554	1853
803	7562	1843
804	7570	1833
805	7579	1824
806	7587	1814
807	7595	1804
808	7604	1795
809	7612	1785
810	7620	1775
811	7630	1766
812	7638	1756
813	7646	1747
814	7655	1737
815	7665	1728
816	7673	1718
817	7681	1709
818	7690	1699
819	7698	1689
820	7706	1680
821	7714	1670
822	7722	1660
823	7731	1651
824	7748	1643
825	7756	1633
826	7764	1624
827	7773	1614
828	7781	1605
829	7789	1595
830	7797	1585
831	7807	1576
832	7815	1566
833	7824	1557
834	7836	1548
835	7847	1539
836	7856	1529
837	7864	1520
838	7872	1510
839	7880	1501
840	7888	1491
841	7896	1481
842	7905	1472
843	7913	1462
844	7921	1453
845	7930	1443
846	7938	1433
847	7946	1424
848	7954	1414
849	7962	1405
850	7970	1395
851	7979	1386
852	7987	1376
853	7995	1366
854	8003	1357
855	8012	1347
856	8021	1338
857	8030	1329
858	8039	1319
859	8047	1310
860	8056	1300
861	8064	1291
862	8073	1281
863	8081	1272
864	8089	1262
865	8098	1253
866	8106	1243
867	8114	1234
868	8122	1224
869	8131	1215
870	8162	1208
871	8170	1199
872	8179	1189
873	8187	1180
874	8195	1170
875	8204	1161
876	8213	1151
877	8222	1142
878	8231	1133
879	8240	1123
880	8248	1114
881	8256	1104
882	8265	1095
883	8273	1085
884	8281	1076
885	8290	1066
886	8298	1057
887	8306	1047
888	8314	1038
889	8322	1028
890	8331	1019
891	8339	1009
892	8347	1000
893	8356	990
894	8364	981
895	8372	971
896	8380	962
897	8389	952
898	8397	943
899	8406	934
900	8416	924
901	8425	915
902	8433	905
903	8441	896
904	8450	887
905	8458	877
906	8466	868
907	8476	858
908	8484	849
909	8492	839
910	8501	830
911	8509	821
912	8517	811
913	8525	802
914	8534	792
915	8542	783
916	8551	773
917	8559	764
918	8567	755
919	8576	745
920	8585	736
921	8594	727
922	8603	717
923	8611	708
924	8620	698
925	8628	689
926	8636	680
927	8644	670
928	8653	661
929	8662	651
930	8670	642
931	8678	633
932	8686	623
933	8694	614
934	8703	605
935	8711	595
936	8719	586
937	8727	576
938	8736	567
939	8744	558
940	8753	548
941	8762	539
942	8770	530
943	8778	520
944	8787	511
945	8797	502
946	8806	492
947	8814	483
948	8822	474
949	8831	464
950	8839	455
951	8848	446
952	8856	436
953	8864	427
954	8873	418
955	8881	408
956	8889	399
957	8897	390
958	8905	380
959	8913	371
960	8922	362
961	8930	352
962	8938	343
963	8946	334
964	8955	324
965	8964	315
966	8973	306
967	8982	296
968	9007	288
969	9023	279
970	9035	269
971	9044	260
972	9053	251
973	9061	241
974	9069	232
975	9077	223
976	9086	213
977	9094	204
978	9102	195
979	9111	185
980	9119	176
981	9127	167
982	9135	157
983	9144	148
984	9153	139
985	9162	130
986	9192	121
987	9204	111
988	9214	102
989	9223	93
990	9231	83
991	9239	74
992	9247	65
993	9267	55
994	9275	46
995	9284	37
996	9292	27
997	9300	18
998	9308	9
999	9316	0
